"gear_links_name","gear_links_url","gear_links_card_name","gear_links_card_text","gear_links_keywords","gear_links_crafting_reqs_name","gear_links_crafting_reqs_url","gear_links_categories_name","gear_links_categories_url","gear_links_special_rules","gear_links_speed","gear_links_accuracy","gear_links_strength"
"Almanac","https://kingdomdeath.fandom.com/wiki/Almanac","Almanac","When you depart, gain +2 insanity. You cannot gain disorders.","item, soluble, flammable","Leather","https://kingdomdeath.fandom.com/wiki/Leather","","","","","",""
"","","","","","","","Cards","https://kingdomdeath.fandom.com/wiki/Category:Cards","","","",""
"","","","","","","","Barber Surgeon Gear","https://kingdomdeath.fandom.com/wiki/Category:Barber_Surgeon_Gear","","","",""
"","","","","","","","Items","https://kingdomdeath.fandom.com/wiki/Category:Items","","","",""
"","","","","","","","Soluble Gear","https://kingdomdeath.fandom.com/wiki/Category:Soluble_Gear","","","",""
"","","","","","","","Flammable Gear","https://kingdomdeath.fandom.com/wiki/Category:Flammable_Gear","","","",""
"","","","","","","","Gear with Blue Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Blue_Affinities","","","",""
"","","","","","","","Gear with Right Blue Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Right_Blue_Affinities","","","",""
"","","","","","","","When you depart","https://kingdomdeath.fandom.com/wiki/Category:When_you_depart","","","",""
"","","","","","","","Uses for Leather","https://kingdomdeath.fandom.com/wiki/Category:Uses_for_Leather","","","",""
"","","","","","","","Uses for Pictograph","https://kingdomdeath.fandom.com/wiki/Category:Uses_for_Pictograph","","","",""
"","","","","","","","Gear with Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Any_Affinities","","","",""
"","","","","","","","Gear with Up Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Up_Any_Affinities","","","",""
"","","","","","","","Gear with Left Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Left_Any_Affinities","","","",""
"","","","","","","","Gear with Down Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Down_Any_Affinities","","","",""
"","","","","","","","Gear with Right Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Right_Any_Affinities","","","",""
"","","","","","","","Core Game Gear","https://kingdomdeath.fandom.com/wiki/Category:Core_Game_Gear","","","",""
"Brain Mint","https://kingdomdeath.fandom.com/wiki/Brain_Mint","Brain Mint","Consume: Remove all your tokens and stand up. You may use this while knocked down. Use once per showdown.","item, consumable","Screaming Brain","https://kingdomdeath.fandom.com/wiki/Screaming_Brain","","","","","",""
"","","","","","","","Cards","https://kingdomdeath.fandom.com/wiki/Category:Cards","","","",""
"","","","","","","","Barber Surgeon Gear","https://kingdomdeath.fandom.com/wiki/Category:Barber_Surgeon_Gear","","","",""
"","","","","","","","Items","https://kingdomdeath.fandom.com/wiki/Category:Items","","","",""
"","","","","","","","Consumables","https://kingdomdeath.fandom.com/wiki/Category:Consumables","","","",""
"","","","","","","","Uses for Screaming Brain","https://kingdomdeath.fandom.com/wiki/Category:Uses_for_Screaming_Brain","","","",""
"","","","","","","","Gear with Blue Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Blue_Affinities","","","",""
"","","","","","","","Gear with Left Blue Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Left_Blue_Affinities","","","",""
"","","","","","","","Gear with Green Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Green_Affinities","","","",""
"","","","","","","","Gear with Up Green Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Up_Green_Affinities","","","",""
"","","","","","","","Use Once per Showdown","https://kingdomdeath.fandom.com/wiki/Category:Use_Once_per_Showdown","","","",""
"","","","","","","","Core Game Consumables","https://kingdomdeath.fandom.com/wiki/Category:Core_Game_Consumables","","","",""
"","","","","","","","Consumable Gear","https://kingdomdeath.fandom.com/wiki/Category:Consumable_Gear","","","",""
"","","","","","","","Gear with Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Any_Affinities","","","",""
"","","","","","","","Gear with Up Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Up_Any_Affinities","","","",""
"","","","","","","","Gear with Left Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Left_Any_Affinities","","","",""
"","","","","","","","Gear with Down Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Down_Any_Affinities","","","",""
"","","","","","","","Gear with Right Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Right_Any_Affinities","","","",""
"","","","","","","","Core Game Cards","https://kingdomdeath.fandom.com/wiki/Category:Core_Game_Cards","","","",""
"","","","","","","","Core Game Gear","https://kingdomdeath.fandom.com/wiki/Category:Core_Game_Gear","","","",""
"Bug Trap","https://kingdomdeath.fandom.com/wiki/Bug_Trap","Bug Trap","At the start of the showdown, roll 1d10. On a 3+, add a Bug Patch terrain card to the showdown board.","item, soluble","Muscly Gums","https://kingdomdeath.fandom.com/wiki/Muscly_Gums","","","","","",""
"Bug Trap","https://kingdomdeath.fandom.com/wiki/Bug_Trap","Bug Trap","At the start of the showdown, roll 1d10. On a 3+, add a Bug Patch terrain card to the showdown board.","item, soluble","Bone","https://kingdomdeath.fandom.com/wiki/Bone","","","","","",""
"","","","","","","","Cards","https://kingdomdeath.fandom.com/wiki/Category:Cards","","","",""
"","","","","","","","Barber Surgeon Gear","https://kingdomdeath.fandom.com/wiki/Category:Barber_Surgeon_Gear","","","",""
"","","","","","","","Items","https://kingdomdeath.fandom.com/wiki/Category:Items","","","",""
"","","","","","","","Soluble Gear","https://kingdomdeath.fandom.com/wiki/Category:Soluble_Gear","","","",""
"","","","","","","","Uses for Muscly Gums","https://kingdomdeath.fandom.com/wiki/Category:Uses_for_Muscly_Gums","","","",""
"","","","","","","","On Arrival","https://kingdomdeath.fandom.com/wiki/Category:On_Arrival","","","",""
"","","","","","","","Core Game Gear","https://kingdomdeath.fandom.com/wiki/Category:Core_Game_Gear","","","",""
"Elder Earrings","https://kingdomdeath.fandom.com/wiki/Elder_Earrings","Elder Earrings","At the start of the showdown, gain +2 survival.","item, jewelry","Scrap","https://kingdomdeath.fandom.com/wiki/Scrap","","","","","",""
"Elder Earrings","https://kingdomdeath.fandom.com/wiki/Elder_Earrings","Elder Earrings","At the start of the showdown, gain +2 survival.","item, jewelry","Shank Bone","https://kingdomdeath.fandom.com/wiki/Shank_Bone","","","","","",""
"","","","","","","","Gear with Red Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Red_Affinities","","","",""
"","","","","","","","Gear with Left Red Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Left_Red_Affinities","","","",""
"","","","","","","","Gear with Green Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Green_Affinities","","","",""
"","","","","","","","Gear with Right Green Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Right_Green_Affinities","","","",""
"","","","","","","","Gear with Blue Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Blue_Affinities","","","",""
"","","","","","","","Gear with Down Blue Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Down_Blue_Affinities","","","",""
"","","","","","","","Items","https://kingdomdeath.fandom.com/wiki/Category:Items","","","",""
"","","","","","","","Jewelry","https://kingdomdeath.fandom.com/wiki/Category:Jewelry","","","",""
"","","","","","","","On Arrival","https://kingdomdeath.fandom.com/wiki/Category:On_Arrival","","","",""
