"gear_links_name","gear_links_url","gear_links_card_name","gear_links_card_text","gear_links_keywords","gear_links_craft_blurb","gear_links_crafting_reqs_name","gear_links_categories_name","gear_links_special_rules","gear_links_armor_points_name","gear_links_speed","gear_links_accuracy","gear_links_strength","gear_links_required_for_name"
"Almanac","https://kingdomdeath.fandom.com/wiki/Almanac","Almanac","When you depart, gain +2 insanity. You cannot gain disorders.","item, soluble, flammable","The Almanac may be crafted once the Barber Surgeon settlement location has been built.","2x Leather","","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Barber Surgeon Gear","","","","","",""
"","","","","","","","Items","","","","","",""
"","","","","","","","Soluble Gear","","","","","",""
"","","","","","","","Flammable Gear","","","","","",""
"","","","","","","","Gear with Blue Affinities","","","","","",""
"","","","","","","","Gear with Right Blue Affinities","","","","","",""
"","","","","","","","When you depart","","","","","",""
"","","","","","","","Uses for Leather","","","","","",""
"","","","","","","","Uses for Pictograph","","","","","",""
"","","","","","","","Gear with Any Affinities","","","","","",""
"","","","","","","","Gear with Up Any Affinities","","","","","",""
"","","","","","","","Gear with Left Any Affinities","","","","","",""
"","","","","","","","Gear with Down Any Affinities","","","","","",""
"","","","","","","","Gear with Right Any Affinities","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"Brain Mint","https://kingdomdeath.fandom.com/wiki/Brain_Mint","Brain Mint","Consume: Remove all your tokens and stand up. You may use this while knocked down. Use once per showdown.","item, consumable","The Brain Mint may be crafted once the Barber Surgeon settlement location has been built.","1x Screaming Brain","","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Barber Surgeon Gear","","","","","",""
"","","","","","","","Items","","","","","",""
"","","","","","","","Consumables","","","","","",""
"","","","","","","","Uses for Screaming Brain","","","","","",""
"","","","","","","","Gear with Blue Affinities","","","","","",""
"","","","","","","","Gear with Left Blue Affinities","","","","","",""
"","","","","","","","Gear with Green Affinities","","","","","",""
"","","","","","","","Gear with Up Green Affinities","","","","","",""
"","","","","","","","Use Once per Showdown","","","","","",""
"","","","","","","","Core Game Consumables","","","","","",""
"","","","","","","","Consumable Gear","","","","","",""
"","","","","","","","Gear with Any Affinities","","","","","",""
"","","","","","","","Gear with Up Any Affinities","","","","","",""
"","","","","","","","Gear with Left Any Affinities","","","","","",""
"","","","","","","","Gear with Down Any Affinities","","","","","",""
"","","","","","","","Gear with Right Any Affinities","","","","","",""
"","","","","","","","Core Game Cards","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"Bug Trap","https://kingdomdeath.fandom.com/wiki/Bug_Trap","Bug Trap","At the start of the showdown, roll 1d10. On a 3+, add a Bug Patch terrain card to the showdown board.","item, soluble","Bug Trap may be crafted once the Barber Surgeon settlement location has been built.","1x Muscly Gums","","","","","","",""
"Bug Trap","https://kingdomdeath.fandom.com/wiki/Bug_Trap","Bug Trap","At the start of the showdown, roll 1d10. On a 3+, add a Bug Patch terrain card to the showdown board.","item, soluble","Bug Trap may be crafted once the Barber Surgeon settlement location has been built.","2x Bone","","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Barber Surgeon Gear","","","","","",""
"","","","","","","","Items","","","","","",""
"","","","","","","","Soluble Gear","","","","","",""
"","","","","","","","Uses for Muscly Gums","","","","","",""
"","","","","","","","On Arrival","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"Elder Earrings","https://kingdomdeath.fandom.com/wiki/Elder_Earrings","Elder Earrings","At the start of the showdown, gain +2 survival.","item, jewelry","+1 Hunt XP after a showdown.","1x Scrap","","","","","","",""
"Elder Earrings","https://kingdomdeath.fandom.com/wiki/Elder_Earrings","Elder Earrings","At the start of the showdown, gain +2 survival.","item, jewelry","+1 Hunt XP after a showdown.","1x Shank Bone","","","","","","",""
"","","","","","","","Gear with Red Affinities","","","","","",""
"","","","","","","","Gear with Left Red Affinities","","","","","",""
"","","","","","","","Gear with Green Affinities","","","","","",""
"","","","","","","","Gear with Right Green Affinities","","","","","",""
"","","","","","","","Gear with Blue Affinities","","","","","",""
"","","","","","","","Gear with Down Blue Affinities","","","","","",""
"","","","","","","","Items","","","","","",""
